,Predicted_Modal_Price
2026-09-14,5041.687624028013
2026-09-15,5708.858618454642
2026-09-16,5747.3325127591
2026-09-17,5747.3325127591
2026-09-18,5627.603070807758
2026-09-19,4960.432076381128
2026-09-20,5627.603070807758
